id;y
GEMN-0098/LH244;223.29878
GEMN-0124/LH244;254.4786492
GEMN-0144/LH244;230.4569478
GEMN-0157/LH244;203.0016284
GEMN-0187/LH244;211.5154052
GEMN-0192_LH212HT_0001/LH244;200.9736561
GEMN-0192_LH212HT_0006/LH244;244.3896426
GEMN-0192_LH212HT_0011/LH244;190.6808622
GEMN-0192_LH212HT_0012/LH244;197.4705271
GEMN-0192_LH212HT_0018/LH244;236.9695094
GEMN-0192_LH212HT_0023/LH244;204.1032501
GEMN-0192_PHJ89_0001/LH244;216.663766
GEMN-0192_PHK76_0002/LH244;212.429032
GEMN-0192_PHK76_0004/LH244;217.4528538
GEMN-0192_PHK76_0005/LH244;159.7040849
GEMN-0192_PHK76_0006/LH244;199.8900771
GEMN-0192_PHK76_0009/LH244;180.0934133
GEMN-0192_PHK76_0010/LH244;209.2059929
GEMN-0192_PHK76_0012/LH244;189.8748774
GEMN-0192_PHK76_0013/LH244;159.8897068
GEMN-0192_PHK76_0014/LH244;198.0449038
GEMN-0192_PHK76_0015/LH244;201.1209836
GEMN-0192_PHK76_0016/LH244;230.1460913
GEMN-0192_PHK76_0021/LH244;233.7339919
GEMN-0192_PHK76_0028/LH244;219.0920714
GEMN-0192_PHK76_0036/LH244;200.4208815
GEMN-0192_PHK76_0044/LH244;202.4057724
GEMN-0192_PHK76_0045/LH244;202.7263833
GEMN-0192_PHN46_0002/LH244;155.9522053
GEMN-0192_PHN46_0005/LH244;185.5451026
GEMN-0192_PHN46_0006/LH244;158.1945204
GEMN-0192_PHN46_0008/LH244;186.8548074
GEMN-0192_PHN46_0010/LH244;212.0079151
GEMN-0192_PHN46_0011/LH244;180.3156294
GEMN-0192_PHN46_0014/LH244;200.3933471
GEMN-0192_PHN46_0015/LH244;169.527321
GEMN-0192_PHN46_0025/LH244;181.1922938
GEMN-0192_PHP02_0001/LH244;181.0401386
GEMN-0225/LH244;220.4402753
GEMN-0225_LH212HT_0008/LH244;204.2489001
GEMN-0225_LH212HT_0015/LH244;228.9380142
GEMN-0225_LH212HT_0024/LH244;194.3590167
GEMN-0225_LH212HT_0029/LH244;246.7757667
GEMN-0225_PHJ89_0001/LH244;234.1760561
GEMN-0225_PHJ89_0003/LH244;235.5389478
GEMN-0225_PHJ89_0004/LH244;222.2156511
GEMN-0225_PHJ89_0005/LH244;213.2294935
GEMN-0225_PHJ89_0008/LH244;228.5790416
GEMN-0225_PHJ89_0015/LH244;171.2343084
GEMN-0225_PHJ89_0017/LH244;210.2204291
GEMN-0225_PHJ89_0020/LH244;244.07134
GEMN-0225_PHJ89_0021/LH244;227.9631408
GEMN-0225_PHJ89_0022/LH244;199.6125646
GEMN-0225_PHJ89_0032/LH244;197.1162621
GEMN-0225_PHK76_0002/LH244;229.1618079
GEMN-0225_PHK76_0004/LH244;232.2789643
GEMN-0225_PHK76_0007/LH244;229.2370468
GEMN-0225_PHK76_0014/LH244;247.6725373
GEMN-0225_PHK76_0018/LH244;216.6326722
GEMN-0225_PHK76_0019/LH244;225.6035692
GEMN-0225_PHK76_0028/LH244;242.2852859
GEMN-0225_PHK76_0031/LH244;164.3134586
GEMN-0225_PHN46_0001/LH244;185.8486357
GEMN-0225_PHN46_0003/LH244;218.3052338
GEMN-0225_PHN46_0005/LH244;213.7944168
GEMN-0225_PHP02_0001/LH244;248.6745359
GEMN-0225_PHP02_0003/LH244;201.5339587
GEMN-0225_PHP02_0005/LH244;249.2875395
GEMN-0225_PHP02_0006/LH244;168.4547655
GEMN-0225_PHP02_0008/LH244;195.56468
GEMN-0225_PHP02_0010/LH244;238.033532
GEMN-0225_PHP02_0013/LH244;234.1760561
GEMN-0225_PHP02_0014/LH244;227.4201035
GEMN-0238/LH244;214.9710343
GEMN-0271/LH244;223.8148149
GEMN-0287/LH244;251.6032473
LH195/PHZ51;171.6691257
LH216/LH244;233.4357894
LH244/PHK76;196.3972629
LH283/LH244;207.010951
LH287/LH244;256.5408157
LH82/LH244;180.328872
MBUB/LH244;205.8232757
MM501D/LH244;218.5741126
MO17_PHW30-008-(2N)-01/LH244;206.3901194
MO17_PHW30-200-(2N)-02/LH244;241.6913528
MO44_LH145_0127/LH244;216.3844943
MO44_LH145_0138/LH244;170.2545075
MO44_PHG47_0072/LH244;155.4996673
MO44_PHG47_0125/LH244;166.7348497
MO44_PHW65_0035/LH244;119.9674803
MOG/LH244;159.4843415
NKH8431/LH244;123.1561116
OH43/LH244;196.268604
PH207/LH244;195.0199651
PH24E/LH244;231.1695398
PHB47/LH244;152.9939956
PHB47/PHN82;183.4099227
