"","env","id","y"
"228","GAH1_2023","GEMN-0225_LH212HT_0008/LH244",130.6778216
"229","GAH1_2023","GEMN-0225_LH212HT_0015/LH244",136.3798693
"230","GAH1_2023","GEMN-0225_PHJ89_0001/LH244",190.4344336
"231","GAH1_2023","GEMN-0225_PHJ89_0005/LH244",117.4002841
"232","GAH1_2023","GEMN-0225_PHJ89_0015/LH244",183.2994957
"233","GAH1_2023","GEMN-0225_PHJ89_0017/LH244",127.0818926
"234","GAH1_2023","GEMN-0225_PHJ89_0021/LH244",141.2630489
"235","GAH1_2023","GEMN-0225_PHJ89_0022/LH244",143.7115863
"236","GAH1_2023","GEMN-0225_PHK76_0002/LH244",143.5446347
"237","GAH1_2023","GEMN-0225_PHK76_0018/LH244",145.8896472
"238","GAH1_2023","GEMN-0225_PHK76_0019/LH244",124.1250772
"239","GAH1_2023","GEMN-0225_PHK76_0028/LH244",106.2154638
"240","GAH1_2023","GEMN-0225_PHK76_0031/LH244",92.97208493
"241","GAH1_2023","GEMN-0225_PHN46_0001/LH244",153.398483
"242","GAH1_2023","GEMN-0225_PHN46_0005/LH244",82.25552405
"243","GAH1_2023","GEMN-0225_PHP02_0003/LH244",83.90817526
"244","GAH1_2023","GEMN-0225_PHP02_0005/LH244",201.5465141
"245","GAH1_2023","GEMN-0225_PHP02_0008/LH244",101.3353424
"246","GAH1_2023","GEMN-0225_PHP02_0014/LH244",111.393373
"247","GAH1_2023","GEMN-0287/LH244",168.3459294
"248","GAH1_2023","LH216/LH244",116.4385379
"249","GAH1_2023","LH287/LH244",111.9074293
"250","GAH1_2023","MM501D/LH244",151.9125411
"251","GAH1_2023","MO44_LH145_0127/LH244",96.95033436
"252","GAH1_2023","MO44_LH145_0138/LH244",77.88029987
"253","GAH1_2023","MO44_PHW65_0035/LH244",100.7154237
"254","GAH1_2023","MOG/LH244",113.4349027
"255","GAH1_2023","OH43/LH244",109.0779846
"256","GAH1_2023","PH207/LH244",106.8106593
"257","GAH1_2023","PH24E/LH244",117.7939493
"258","GAH1_2023","PHB47/PHZ51",75.28567288
"259","GAH1_2023","PHG29/PHG47",77.90827775
"260","GAH1_2023","PHG47/LH244",52.21061723
"261","GAH1_2023","PHJ89/LH244",136.518723
